ID,SEXO,ano_esc,IDADE,O,C,E,A,N,prop,A2
1,1,7,12,4,3.27,4.06,4.29,3.1,169,-0.01434451308
2,0,7,12,3.5,3.41,3.24,3.54,2.86,157,-0.1193860217
3,1,7,12,3.28,3.13,4.17,3.17,2.95,163,1.273928561
4,1,7,12,3.39,3.17,3.94,3.92,2.86,169,0.1174349879
5,1,8,14,4.28,2.77,3.17,3.67,3,155,0.3583778396
6,1,9,15,3.94,2.67,3.83,3.96,2,154,-1.221194546
7,0,6,11,3.94,3.53,4.17,4.04,3.05,169,-1.500374607
8,1,7,12,3.28,2.87,4.17,3.33,2.76,154,-2.122346598
9,1,7,12,3.5,2.66,3.53,3.39,2.24,152,0.904849563
10,1,7,12,3.61,2.33,4.06,3.17,2.38,163,-0.2397814147
11,1,7,12,3.44,2.13,4.28,2.88,1.9,162,0.9681065522
12,1,7,12,4.33,3.33,4.56,3.58,3.43,160,-0.2613238945
13,1,8,13,3.17,4.43,4.44,3.71,3.62,160,-0.3272423012
14,0,8,13,4,3.9,3.78,3.58,3.24,161,-2.177927185
15,0,8,13,3.24,3.37,3.94,3.67,3.8,164,0.0663652942
16,0,10,15,3.89,2.87,2.94,2.67,1.86,159,-2.080784369
17,1,10,15,3,3.03,3.22,3.08,3.33,157,-1.381165161
18,1,10,18,3.78,2.9,3.22,2.79,3.9,157,0.3378575885
19,1,12,18,4.5,3.27,4.28,3.17,3.4,165,1.290651848
20,1,12,18,4.39,2.7,2.33,3.21,3.2,158,0.1656275967
21,1,12,17,4.06,3.47,3.11,3.79,3.9,165,1.310390867
22,1,9,13,4.11,3.87,3.28,3.96,2.29,169,2.640198792
23,1,8,13,3.56,3.27,3.28,4.67,1.9,154,-1.029132494
24,1,8,13,4.17,3.67,4.56,4.42,3.05,161,-0.7584257618
25,1,8,14,2.38,2.48,3.35,2.96,1.76,161,-0.6310579762
26,1,12,17,3.89,3.67,3.72,3.96,2.86,161,0.4311174895
27,1,9,15,4.06,3.47,3.94,3.74,2.81,168,-0.6815348175
28,0,9,14,4.06,4.07,4.22,3.33,3.38,163,1.023444924
29,1,9,14,4.17,4.53,3.94,4.21,3,153,0.3749440372
30,1,9,15,3.06,3.43,3.06,3.71,2.05,159,-0.2586032607
31,0,9,15,3,2.4,4.17,2.88,3.29,153,-0.5269125519
32,0,6,11,2.28,3.87,3.22,3.3,2.8,162,-0.002195851769
33,0,12,20,3.94,3.4,3.56,4.29,3.67,158,-0.7942942866
34,1,12,17,4.33,3.87,4.06,4.21,2.57,168,-1.168644983
35,0,12,17,4.44,2.97,3.22,3.75,2.81,156,-1.289686096
36,1,6,11,4.28,4.37,4.28,4.38,2.5,171,-1.53892021
37,1,6,11,3.67,3.55,4.33,4.04,2.29,156,-0.05286980578
38,0,6,11,4.11,3.9,4.11,4.29,3.86,159,-0.6427819301
39,1,12,17,4.5,3.97,4.61,4.21,2.9,164,0.05671809824
40,1,6,11,4.73,4.28,3.89,4.91,3.62,166,0.4580582202
41,1,6,11,4.44,4,3.06,4.46,3.29,164,0.6938002733
42,1,6,11,4.17,4.17,4,3.71,3.95,165,-1.430270723
43,1,6,11,3.5,4.34,2.72,4.5,3.1,152,-0.3698156703
44,1,6,12,3.61,4.38,4.78,4.42,4.76,170,1.121475236
45,1,6,11,4.22,3.2,4.56,3.79,3.24,157,-0.6659615625
46,0,8,13,3.83,3.17,3.29,4.13,3.52,163,-0.7206812768
47,0,10,15,4.72,2.67,4.39,4,3.76,162,0.1438646277
48,1,10,15,4.39,3.9,2.89,3.83,3.76,149,1.462996596
49,0,10,16,3.17,3.07,2.44,3.88,3.57,168,-0.8632884572
50,0,6,11,2.94,3.83,4.12,3.57,2.81,154,0.3001237851
51,1,8,13,3.67,2.67,3.67,3.25,2.43,156,-0.11588962
52,1,6,11,4.17,4.1,3.72,4.33,3.33,153,0.5475865587
53,0,6,11,3.78,3.43,3.33,3.71,3.05,163,-0.4271505618
54,1,6,11,3.06,3.47,4.28,4,3.76,159,-0.9365633839
55,0,12,17,3.44,3.43,3.28,4.46,3.67,164,-1.691523042
56,1,6,11,4.5,4.4,4.18,4,3.57,164,0.2685866063
57,0,10,15,4.11,2,4.67,3.21,3.62,164,-0.2725615071
58,1,9,14,3.06,3.93,3.44,2.13,3.19,158,0.4716355403
59,1,12,16,4.44,4.9,2.89,4.29,2.76,158,0.3273161077
60,0,6,11,4.61,4.71,3.56,3.67,3.86,152,-0.5648074145
61,1,10,14,4.44,3.8,3.06,3.46,3.38,165,-0.8599609489
62,1,10,16,3.61,3.86,3.53,3.76,2.35,158,-0.03135239095
63,1,7,12,4.28,4.6,3.89,4.5,3.29,154,0.1042764438
64,1,12,16,3.06,4.4,3.61,4.17,3.19,158,-0.2155884536
65,1,12,16,4.72,4.57,4.22,3.38,3.65,153,-2.573942262
66,1,12,16,3.89,4.3,2.89,4.08,1.57,167,-0.3488980503
67,1,6,11,3.08,4.46,4.33,3.75,3.27,162,-0.7140404318